epoch,lr,training_error,prediction_100_ms,prediction_200_ms,prediction_300_ms,prediction_400_ms,prediction_500_ms,prediction_600_ms,prediction_700_ms,prediction_800_ms,prediction_900_ms,prediction_1000_ms,prediction_error_average,baseline_100_ms,baseline_200_ms,baseline_300_ms,baseline_400_ms,baseline_500_ms,baseline_600_ms,baseline_700_ms,baseline_800_ms,baseline_900_ms,baseline_1000_ms,baseline_error_average
10,0.003874204890000002,65.8,18.7,35.5,53.1,69.8,87.5,104.7,121.0,138.5,155.1,171.3,89.9,54.0,105.4,154.8,202.5,248.9,294.1,338.0,381.0,423.0,464.1,251.2
20,0.0013508517176729932,54.0,17.5,33.8,50.0,66.2,82.7,99.5,116.0,132.4,148.5,164.7,85.7,54.0,105.4,154.8,202.5,248.9,294.1,338.0,381.0,423.0,464.1,251.2
30,0.000471012869724625,50.2,17.4,32.9,48.7,64.6,80.9,97.5,114.1,130.4,146.7,162.6,84.2,54.0,105.4,154.8,202.5,248.9,294.1,338.0,381.0,423.0,464.1,251.2
40,0.00016423203268260683,48.9,17.1,32.8,48.4,64.4,80.6,97.3,113.9,130.4,146.7,162.8,84.1,54.0,105.4,154.8,202.5,248.9,294.1,338.0,381.0,423.0,464.1,251.2
50,5.7264168970223595e-05,48.4,17.1,32.6,48.3,64.2,80.6,97.3,113.9,130.3,146.6,162.7,84.0,54.0,105.4,154.8,202.5,248.9,294.1,338.0,381.0,423.0,464.1,251.2
60,1.9966781110160387e-05,48.3,17.1,32.6,48.2,64.1,80.4,97.0,113.6,130.0,146.3,162.3,83.8,54.0,105.4,154.8,202.5,248.9,294.1,338.0,381.0,423.0,464.1,251.2
70,6.9619860913088715e-06,48.4,17.1,32.6,48.2,64.1,80.4,97.0,113.6,130.0,146.3,162.4,83.8,54.0,105.4,154.8,202.5,248.9,294.1,338.0,381.0,423.0,464.1,251.2
80,2.4274944503154745e-06,48.3,17.1,32.6,48.2,64.2,80.4,97.1,113.6,130.0,146.4,162.4,83.8,54.0,105.4,154.8,202.5,248.9,294.1,338.0,381.0,423.0,464.1,251.2
90,8.46414978287407e-07,48.3,17.1,32.6,48.2,64.1,80.4,97.0,113.6,130.0,146.3,162.4,83.8,54.0,105.4,154.8,202.5,248.9,294.1,338.0,381.0,423.0,464.1,251.2
100,2.951266543065285e-07,48.2,17.1,32.6,48.2,64.1,80.4,97.0,113.6,130.0,146.3,162.4,83.8,54.0,105.4,154.8,202.5,248.9,294.1,338.0,381.0,423.0,464.1,251.2
